idEuropeanRegion,Name,Type,Country,OtherRegion,idCountry,idTerritory
309,Antwerpen,Province,Belgium,"["Antwerp"]",17,NULL
310,"Brabant wallon",Province,Belgium,"["Walloon Brabant"]",17,NULL
311,"Brussels-Capital Region",Region,Belgium,"["Brussels"]",17,NULL
312,Hainaut,Province,Belgium,NULL,17,NULL
313,Liège,Province,Belgium,NULL,17,NULL
314,"Limburg, BE",Region,Belgium,NULL,17,NULL
315,"Luxembourg, BE",Province,Belgium,NULL,17,NULL
316,Namur,Region,Belgium,NULL,17,NULL
317,Oost-Vlaanderen,Province,Belgium,"["East Flanders"]",17,NULL
318,Vlaams-Brabant,Province,Belgium,"["Flemish Brabant"]",17,NULL
319,West-Vlaanderen,Region,Belgium,"["West Flanders"]",17,NULL
320,Aargau,Canton,Switzerland,NULL,170,NULL
321,"Appenzell Ausserrhoden",Canton,Switzerland,NULL,170,NULL
322,"Appenzell Innerrhoden",Canton,Switzerland,NULL,170,NULL
323,Basel-Landschaft,Canton,Switzerland,"["Basel-Country"]",170,NULL
324,Basel-Stadt,Canton,Switzerland,"["Basel-City"]",170,NULL
325,Bern,Canton,Switzerland,"["Berne"]",170,NULL
326,Fribourg,Canton,Switzerland,"["Freiburg"]",170,NULL
327,Genève,Canton,Switzerland,"["Geneva"]",170,NULL
328,Glarus,Canton,Switzerland,NULL,170,NULL
329,Graubünden,Canton,Switzerland,"["Grisons", "Grischun", "Grigioni"]",170,NULL
330,"Jura, CH",Canton,Switzerland,NULL,170,NULL
331,Luzern,Canton,Switzerland,"["Lucerne"]",170,NULL
332,Neuchâtel,Canton,Switzerland,NULL,170,NULL
333,Nidwalden,Canton,Switzerland,NULL,170,NULL
334,Obwalden,Canton,Switzerland,NULL,170,NULL
335,Schaffhausen,Canton,Switzerland,NULL,170,NULL
336,Schwyz,Canton,Switzerland,NULL,170,NULL
337,Solothurn,Canton,Switzerland,NULL,170,NULL
338,"Sankt Gallen",Canton,Switzerland,"["Saint Gallen"]",170,NULL
339,Thurgau,Canton,Switzerland,NULL,170,NULL
340,Ticino,Canton,Switzerland,"["Tessin"]",170,NULL
341,Uri,Canton,Switzerland,NULL,170,NULL
342,Valais/Wallis,Canton,Switzerland,"["Valais", "Wallis"]",170,NULL
343,Vaud,Canton,Switzerland,NULL,170,NULL
344,Zug,Canton,Switzerland,NULL,170,NULL
345,Zürich,Canton,Switzerland,NULL,170,NULL
346,Abruzzo,Region,Italy,NULL,82,NULL
347,Basilicata,Region,Italy,NULL,82,NULL
348,Calabria,Region,Italy,NULL,82,NULL
349,Campania,Region,Italy,NULL,82,NULL
350,Emilia-Romagna,Region,Italy,NULL,82,NULL
351,"Friuli-Venezia Giulia",Region,Italy,NULL,82,NULL
352,Lazio,Region,Italy,NULL,82,NULL
353,Liguria,Region,Italy,NULL,82,NULL
354,Lombardia,Region,Italy,"["Lombardy"]",82,NULL
355,Marche,Region,Italy,NULL,82,NULL
356,Molise,Region,Italy,NULL,82,NULL
357,Piemonte,Region,Italy,"["Piedmont"]",82,NULL
358,Puglia,Region,Italy,"["Apulia"]",82,NULL
359,Sardegna,Region,Italy,"["Sardinia"]",82,NULL
360,Sicilia,Region,Italy,"["Sicily"]",82,NULL
361,"Trentino-Alto Adige/Südtirol",Region,Italy,"["Trentino-South Tyrol", "Trentino-Alto Adige", "Trentino-Südtirol"]",82,NULL
362,Toscana,Region,Italy,"["Tuscany"]",82,NULL
363,Umbria,Region,Italy,NULL,82,NULL
364,"Valle d'Aosta",Region,Italy,"["Aosta Valley"]",82,NULL
365,Veneto,Region,Italy,NULL,82,NULL
366,Baden-Württemberg,Flächenländer,Germany,NULL,64,NULL
367,Bayern,Flächenländer,Germany,"["Bavaria"]",64,NULL
368,Berlin,Stadtstaaten,Germany,NULL,64,NULL
369,Brandenburg,Flächenländer,Germany,NULL,64,NULL
370,Bremen,Stadtstaaten,Germany,NULL,64,NULL
371,Hamburg,Stadtstaaten,Germany,NULL,64,NULL
372,Hessen,Flächenländer,Germany,"["Hesse"]",64,NULL
373,Mecklenburg-Vorpommern,Flächenländer,Germany,NULL,64,NULL
374,Niedersachsen,Flächenländer,Germany,"["Lower Saxony"]",64,NULL
375,Nordrhein-Westfalen,Flächenländer,Germany,"["North Rhine-Westphalia"]",64,NULL
376,Rheinland-Pfalz,Flächenländer,Germany,"["Rhineland-Palatinate"]",64,NULL
377,Saarland,Flächenländer,Germany,NULL,64,NULL
378,Sachsen,Flächenländer,Germany,"["Saxony"]",64,NULL
379,Sachsen-Anhalt,Flächenländer,Germany,"["Saxony-Anhalt"]",64,NULL
380,Schleswig-Holstein,Flächenländer,Germany,NULL,64,NULL
381,Thüringen,Flächenländer,Germany,"["Thuringia"]",64,NULL
382,Bonaire,"Special Municipality",Netherlands,NULL,123,NULL
383,Drenthe,Province,Netherlands,NULL,123,NULL
384,Flevoland,Province,Netherlands,NULL,123,NULL
385,Fryslân,Province,Netherlands,"["Friesland"]",123,NULL
